left,right,label
"臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
","稻熱病蠢蠢欲動、防檢局籲請農友加強防範
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","氣候條件適合水稻葉稻熱病發生與蔓延，臺中區農業改良場籲請農民及時防治。臺中區農改場、防檢局及田邊好幫手關心您。
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","苗栗區農業改良場發佈水稻白葉枯病警報
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","中部地區氣候條件適合水稻葉稻熱病發生，籲請農民加強防治作業。臺中區農業改良場、防檢局及田邊好幫手關心您。
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","颱風過後連續下雨台南區農改場籲請農友做好水稻白葉枯病防治工作
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","中部地區一期稻作葉稻熱病發生警報
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","水稻白葉枯病警報
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","水稻白葉枯病發生風險提高，請注意田間病徵，及早加強防範措施，避免產量損失。台南農改場、防檢局及田邊好幫手關心您。
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","高雄場表示近日連續午後降雨，籲請農友注意防範水稻病蟲害
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","苗栗地區發布水稻白葉枯病防治警報，籲請農友注意防範。苗栗區農改場、防檢局及田邊好幫手關心您。
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","連日大雨，台南區農改場籲加強水稻白葉枯病防治
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","近日宜蘭防疫所監測縣內水稻田區，發現白葉枯病已現，籲請農民加強防範工作。宜蘭縣政府、防檢局及田邊好幫手關心您。
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","颱風過後，台南農改場籲加強水稻白葉枯病防治
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","降雨頻繁，高雄場籲請農友加強水稻白葉枯病防範。高雄區農改場、防檢局及田邊好幫手關心您。
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","發佈水稻白葉枯病疫情警報
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","請注意防治白葉枯病  確保水稻產量與品質
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","水稻葉片已出現葉稻熱病初期病斑，籲請農民及時防治。臺中區農改場、防檢局及田邊好幫手關心您。
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","連日豪雨水稻白葉枯病易發生，請農友加強注意病徵，及時防範，避免損失。高雄農改場、防檢局及田邊好幫手關心您。
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","近期氣候劇烈變化，復以間歇性降雨，籲請農友防治水稻葉稻熱病。臺中區農改場、防檢局及田間好幫手關心您。
",like
"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
","發布本(104)年度第二期作水稻白葉枯病發生預報。桃園區農改場、防檢局及田邊好幫手關心您。
",like
"稻熱病蠢蠢欲動，高雄區農業改良場籲請農友及早防範
","美濃地區已發生熱稻病，請加強高屏地區防治宣導
",like
"稻熱病蠢蠢欲動，高雄區農業改良場籲請農友及早防範
","發佈水稻葉稻熱病警報
",like
"稻熱病蠢蠢欲動，高雄區農業改良場籲請農友及早防範
","請農友注意稻熱病防治工作
",like
"稻熱病蠢蠢欲動，高雄區農業改良場籲請農友及早防範
","發佈水稻葉稻熱病疫情警報
",like
"稻熱病蠢蠢欲動，高雄區農業改良場籲請農友及早防範
","桃園場發佈轄區內水稻葉稻熱病發生警報
",like
"台中區農業改良場發佈水稻白葉枯病發生警報，呼籲轄區內農友發動共同防治工作，以免農作物遭受病蟲危害損失
","苗栗區農業改良場發佈水稻白葉枯病警報
",like
"台中區農業改良場發佈水稻白葉枯病發生警報，呼籲轄區內農友發動共同防治工作，以免農作物遭受病蟲危害損失
","颱風過後連續下雨台南區農改場籲請農友做好水稻白葉枯病防治工作
",like
"台中區農業改良場發佈水稻白葉枯病發生警報，呼籲轄區內農友發動共同防治工作，以免農作物遭受病蟲危害損失
","水稻白葉枯病警報
",like
"台中區農業改良場發佈水稻白葉枯病發生警報，呼籲轄區內農友發動共同防治工作，以免農作物遭受病蟲危害損失
","近日宜蘭防疫所監測縣內水稻田區，發現白葉枯病已現，籲請農民加強防範工作。宜蘭縣政府、防檢局及田邊好幫手關心您。
",like
"台中區農業改良場發佈水稻白葉枯病發生警報，呼籲轄區內農友發動共同防治工作，以免農作物遭受病蟲危害損失
","發佈水稻白葉枯病疫情警報
",like
"台中區農業改良場發佈水稻白葉枯病發生警報，呼籲轄區內農友發動共同防治工作，以免農作物遭受病蟲危害損失
","請注意防治白葉枯病  確保水稻產量與品質
",like
"香蕉所籲請蕉農務必做好開花蕉株果房疏果、整梳及套袋工作，以提高蕉果品質。
","蘇迪勒強風豪雨後，籲請農友注意蔬果復育措施減少損失。高雄區農改場、防檢局及田邊好幫手關心您。
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","發佈水稻螟蟲(二化螟蟲、三化螟蟲)及水稻水象鼻蟲防治警報，苗栗場籲請農友注意防治
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","水稻水象鼻蟲發生嚴重請農民加強防治
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","苗栗地區發布水稻水象鼻蟲及螟蟲(二化螟蟲、三化螟蟲)蟲害防治警報，苗栗區農改場、防檢局及田邊好幫手關心您。
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","苗栗地區發布水稻水象鼻蟲防治警報，籲請農友注意防範。苗栗區農改場、防檢局及田邊好幫手關心您。
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","苗栗地區發布水稻螟蟲(二化螟、三化螟)防治警報，請農友注意防治。苗栗區農改場、防檢局及田邊好幫手關心您。
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","發佈水稻水象鼻蟲疫情警報
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","發佈水稻水象鼻蟲防治警報，苗栗場籲請農友參考警報內容注意防治。
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","發佈水稻二化螟蟲警報
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","水稻水象鼻蟲蠢蠢欲動，注意防治
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","苗栗地區一期水稻栽培插秧期，請農民加強防治水稻水象鼻蟲
",like
"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
","水稻插秧季節請留意水稻水象鼻蟲為害及防治
",like
"稻熱病現蹤，請農友注意防範。臺東區農改場、防檢局及田邊好幫手關心您。
","稻熱病普遍發生，籲請農友加強防治，臺南區農改場、防檢局及田邊好幫手關心您。
",like
"稻熱病現蹤，請農友注意防範。臺東區農改場、防檢局及田邊好幫手關心您。
","臺南區農改場籲請農友加強防治水稻稻熱病。臺南區農改場、防檢局及田邊好幫手關心您。
",like
"稻熱病現蹤，請農友注意防範。臺東區農改場、防檢局及田邊好幫手關心您。
","天氣陰晴不定，請農友加強稻熱病防治。臺東區農改場、防檢局及田邊好幫手關心您。
",like
"桃園市及新竹縣部分鄉鎮區已發生葉稻熱病，為避免病害迅速蔓延，請農友適時防治。桃園區農改場、防檢局及田邊好幫手關心您。
","本場發布水稻葉稻熱病預警，籲請轄區農友注意適時防治。桃園區農業改良場、防檢局及田邊好幫手關心您。
",like
"發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
","發佈九十二∕九十三年度各蕉區葉部病害第三次防治情報
",like
"發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
","請宣導蕉農繼續做好香蕉葉部病害(黑星病、葉斑病等) 防治工作，以確保香蕉產量、品質，請查照。
",like
"發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
","發佈95／96年期各蕉區葉部病害第 1 次防治情報
",like
"發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
","近來氣候有利香蕉葉部病菌感染及漫延，請進入抽穗期蕉園，掌握時機做好防範工作，以免影響產量及品質。香蕉研究所、防檢局及田邊好幫手關心您。
",like
"發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
","籲請蕉農繼續注意加強香蕉葉部黑星病防治工作，俾確保提昇蕉株良好發育、蕉果品質及產量。
",like
"發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
","發佈 94／95 年期各蕉區葉部病害第 4 次防治情報
",like
"發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
","請蕉農繼續注意香蕉葉部黑星病防治工作，俾確保蕉株良好發育、蕉果品質及產量
",like
"發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
","請宣導蕉農加強香蕉黑星病防治作業，以確保香蕉良好之品質及產量。
",like
"發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
","籲請蕉農加強注意香蕉葉部黑星病防治作業，俾確保蕉株良好發育、蕉果品質及產量。
",like
"發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
","請宣導蕉農持續做好香蕉黑星病及葉斑病等葉部病害防治工作，以確保香蕉正常產量及品質
",like
"注意防範蓮花薊馬、斜紋夜盜蟲疫情
","發佈蓮花小黃薊馬蟲害發生疫情警報
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","嘉義市已發現水稻稻熱病發生，籲請農友掌握防治時機。嘉義市政府、防檢局及田邊好幫手關心您
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","花蓮區水稻陸續進入分蘗終期或進入抽穗期，花蓮縣動植物防疫所提醒農友把握防治時機，避免穗稻熱病影響產量。花蓮縣動植物防疫所、防檢局及田邊好幫手關心您。
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","乍暖還寒，防檢局籲請農友加強防治稻熱病
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","連日降雨且溫差大濕度高，請農友加強防範穗稻熱病，避免產量損失。
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","本所近日監測縣內水稻田區，發現已有零星穗稻熱病發生，籲請提醒轄內農民加強穗稻熱病防範工作，宜蘭縣政府、防檢局及田邊好幫手關心您。
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","稻熱病已零星發生，屏東縣政府籲請農友加強注意防範稻熱病，屏東縣政府、防檢局及田邊好幫手關心您。
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","提早入梅，請加強防範水稻稻熱病發生
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","縣內已有零星稻熱病發生，籲請農友加強稻熱病防範工作。宜蘭縣政府、防檢局及田邊好幫手關心您。
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","雨後適合稻熱病發生，請持續進行監測並指導農民防治
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","新聞稿-稻熱病進入好發季節，防檢局籲請農友加強防範
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","稻熱病蠢蠢欲動、防檢局籲請農友加強防範
",like
"稻熱病進入好發季節，防檢局籲請農友加強防治
","籲請農友注意防治穗稻熱病。臺南市政府、防檢局及田邊好幫手關心您。
",like
"高屏地區正值紅豆栽培期，高雄場籲請農友注意根腐病防治。高雄區農改場、防檢局及田邊好幫手關心您。
","大雨過後，高雄場籲請紅豆農友慎防根腐病。高雄區農改場，防檢局及田邊好幫手關心您。
",like
"花蓮、宜蘭地區作物病蟲害疫情警報第8號
","氣候持續溼熱，適合水稻白葉枯病、紋枯病的發生與蔓延，臺中區農業改良場提出防治對策，籲請農友掌握防治時機
",like
"花蓮、宜蘭地區作物病蟲害疫情警報第8號
","二期作為水稻瘤野螟好發時期，臺南場籲請農友加強防治
",like
"花蓮、宜蘭地區作物病蟲害疫情警報第8號
","水稻縱捲葉蟲已開始發生，台南農改場提醒農友注意防治
",like
"花蓮、宜蘭地區作物病蟲害疫情警報第8號
","水稻瘤野螟成蛾陸續羽化,籲請農民掌握防治時機
",like
"花蓮、宜蘭地區作物病蟲害疫情警報第8號
","發佈水稻白葉枯病疫情警報
",like
"花蓮、宜蘭地區作物病蟲害疫情警報第8號
","發佈轄區水稻縱捲葉蟲害疫情警報
",like
"花蓮、宜蘭地區作物病蟲害疫情警報第8號
","請注意防治白葉枯病  確保水稻產量與品質
",like
"花蓮、宜蘭地區作物病蟲害疫情警報第8號
","花蓮、宜蘭地區作物病蟲害疫情警報第3號
",like
"花蓮、宜蘭地區作物病蟲害疫情警報第8號
","水稻縱捲葉蟲已開始發生　台南農改場提醒農友注意防治
",like
"花蓮、宜蘭地區作物病蟲害疫情警報第8號
","二期稻作瘤野螟及紋枯病發生警報
",like
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","鹿野鄉局部地區水稻胡麻葉枯病發生嚴重，臺東場籲請該地區農民及時防治
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","加強杜絕洋香瓜病毒病蔓延
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","稻熱病蠢蠢欲動，高雄區農業改良場籲請農友及早防範
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","目前正值稻熱病流行高峰期，花蓮區農業改良場籲請農友注意加強防治
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","台中區農業改良場發佈水稻白葉枯病發生警報，呼籲轄區內農友發動共同防治工作，以免農作物遭受病蟲危害損失
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","香蕉所籲請蕉農務必做好開花蕉株果房疏果、整梳及套袋工作，以提高蕉果品質。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","稻熱病現蹤，請農友注意防範。臺東區農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","臺東縣太麻里地區東方果實蠅猖獗，臺東區農業改良場請農友注意防範
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","桃園市及新竹縣部分鄉鎮區已發生葉稻熱病，為避免病害迅速蔓延，請農友適時防治。桃園區農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","籲請農友加強注意防範新浮現病害-芒果畸形病。高雄區農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","發佈95/96年期各蕉區葉部病害第 4 次防治情報，請  參考採行。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","花蓮、宜蘭地區作物病蟲害疫情警報第 4 號
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","颱風過境後，西瓜易罹患細菌性果斑病
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","注意防範蓮花薊馬、斜紋夜盜蟲疫情
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","十字花科蔬菜第一殺手~黃條葉蚤
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","稻熱病進入好發季節，防檢局籲請農友加強防治
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","高屏地區正值紅豆栽培期，高雄場籲請農友注意根腐病防治。高雄區農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","花蓮、宜蘭地區作物病蟲害疫情警報第8號
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","一期稻作紋枯病警報
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","發布苗栗區水稻葉稻熱病防治警報。苗栗區農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","屏東縣枋寮鄉5月上旬監測果實蠅密度達紅燈警戒標準，請農民加強防治工作，以降低田間蟲害密度。屏東縣政府、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","芒果開花盛期台南農改場籲請掌握炭疽病及白粉病的防治適期，以確保收成
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","水稻將進入抽穗期，且正值二化螟成蛾盛期，籲請稻農掌握穗稻熱病及二化螟防治時機，台中區農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","發佈水稻螟蟲(二化螟蟲、三化螟蟲)及水稻水象鼻蟲防治警報，苗栗場籲請農友注意防治
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","桃園及新竹地區水稻瘤野螟(縱捲葉蟲)發生達警報基準，請立即加強防治措施，避免產量損失。桃園農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","寒流來襲苗栗區農業改良場呼籲農民嚴防寒害
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","連續多日有雨籲請農友加強防治稻熱病及紋枯病。臺東農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","嘉義市已發現水稻稻熱病發生，籲請農友掌握防治時機。嘉義市政府、防檢局及田邊好幫手關心您
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","時值釋迦果實生長期，氣候連續乾旱，台南農改場籲請果農加強太平洋臀紋粉介殼蟲等害蟲防治
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","水稻葉稻熱病已現蹤，臺南區農改場籲請慎防水稻葉稻熱病
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","苗栗農改場發佈斜紋夜蛾疫情警報，請農友加強注意防範。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","冬末、初春種植香蕉組培苗易發生香蕉嵌紋病及萎縮病危害，香蕉所籲請農友及時強化防治工作。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","初春時期，香蕉組織培養苗易發生香蕉嵌紋病，籲請農友及時強化防治工作，俾確保蕉苗正常發育。香蕉研究所、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","怪獸蘇迪勒颱風肆虐，籲請農友即刻進行適度管理措施，以減少損失。臺南區農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","新聞稿：檬果開花季節，台南場提醒農友注意病蟲害的防治
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","香蕉所籲請轄區蕉農加強香蕉葉部病害防治作業，俾確保香蕉良好之品質及產量。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","做好梨木蝨及黑星病防治，維護食安少用藥。花蓮農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","時值芒果盛花期，籲請農友加強防治白粉病及炭疽病
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","一期稻作進入分蘗期，請農友注意葉稻熱病及二化螟蟲的發生與防治
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","籲請農友注意水稻紋枯病、白葉枯病、細菌性條斑病的防治。台南區農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","氣候條件適合水稻葉稻熱病發生與蔓延，臺中區農業改良場籲請農民及時防治。臺中區農改場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","本局發佈「全國滅鼠週」農地野鼠防除成果新聞稿
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","雨季將臨，籲請農友注意防範荔枝露疫病。高雄區農業改良場、防檢局及田邊好幫手關心您。
",unlike
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","柑橘窄胸天牛進入羽化期，臺南區農改場籲請農友把握防治關鍵期。臺南區農改場、防檢局及田邊好幫手關心您。
",unlike
